,id,regionname,countryname,projectstatusdisplay,last_stage_reached_name,project_name,pdo,impagency,cons_serv_reqd_ind,url,boardapprovaldate,closingdate,projectfinancialtype,curr_project_cost,curr_ibrd_commitment,curr_ida_commitment,curr_total_commitment,grantamt,borrower,lendinginstr,envassesmentcategorycode,esrc_ovrl_risk_rate,sector1,sector2,sector3,theme1,theme2
5995,P144678,South Asia,Republic of India,Dropped,Decision Meeting,Prepare:Program toEstablish Pilots for Access through Renewable Energy,To demonstrate decentralized renewable energy based PPP models for improving energy access in state of Uttar Pradesh.,"Ministry of New and Renewable Energy, UPNEDA",,http://projects.worldbank.org/P144678/prepareprogram-toestablish-pilots-access-through-renewable-energy?lang=en,,,,40950000,0,0,0,,Department of Economic Affairs,Investment Project Financing,B,,Renewable Energy Biomass,Renewable Energy Geothermal,Renewable Energy Solar,,
6028,P144447,South Asia,Republic of India,Closed,Bank Approved,India:  Elementary Education III,The PDO is to improve education outcomes of elementary school children in India,Ministry of Human Resource Development,,http://projects.worldbank.org/P144447/null?lang=en,2014-05-16T00:00:00Z,2018-02-28,IDA,29833300000,0,1006200000,1006200000,,Republic of India,Investment Project Financing,B,,Primary Education,,,Education for all,
6094,P143751,South Asia,Republic of India,Closed,Bank Approved,Second Tamil Nadu Road Sector Project,"The project development objective is to increase road capacity, enhance quality of maintenance, improve safety and support institutional development of Tamil Nadu's core road network (CRN).",Government of Tamil Nadu,,http://projects.worldbank.org/P143751/second-tamil-nadu-road-sector-project?lang=en,2015-04-28T00:00:00Z,2021-06-30,Other,778200000,300000000,0,300000000,,India,Investment Project Financing,A,,Rural and Inter-Urban Roads,Public Administration - Transportation,,Injuries and non-communicable diseases,Trade facilitation and market access
6104,P143608,South Asia,Republic of India,Closed,Bank Approved,Telangana Rural Inclusive Growth Project,The PDO is to enable selected poor households to enhance agricultural incomes and secure increased access to humandevelopment servi ces and social entitlements.,Society for Elimination of Rural Poverty (SERP),,http://projects.worldbank.org/P143608/null?lang=en,2014-12-19T00:00:00Z,2019-04-15,Other,107000000,0,75000000,75000000,,"Department of Economic Affairs, Ministry of Finance, Government of India",Investment Project Financing,B,,"Other Agriculture, Fishing and Forestry",Public Administration - Information and Communications Technologies,ICT Services,Participation and civic engagement,Rural policies and institutions
6117,P143382,South Asia,Republic of India,Closed,Bank Approved,Tamil Nadu and Puducherry Coastal Disaster Risk Reduction Project,"Increasing the resilience of coastal communities in Tamil Nadu and Puducherry, to a range of hydro-meteorological and geophysical hazards along with improving project implementing entities’ capacity to respond promptly and effectively to an eligible crisis or emergency.","Project Implementation Agency, Department of Revenue and DM, Government of Puducherry, Tamil Nadu State Disaster Management Agency, Government of Tamil Nadu, Tamil Nadu Medical Services Corporation Limited",,http://projects.worldbank.org/P143382/tamil-nadu-puducherry-coastal-disaster-risk-reduction-project?lang=en,2013-06-20T00:00:00Z,2020-06-30,Other,337200000,0,236000000,236000000,,"Department of Economic Affairs, Ministry of Finance, Republic of India",Investment Project Financing,B,,Fisheries,Social Protection,"Other Water Supply, Sanitation and Waste Management",Natural disaster management,Rural non-farm income generation
6147,P143032,South Asia,Republic of India,Closed,Bank Approved,2nd DPL to Support Inclusive Green Growth and Sust Devlp in HP,"<span style=""font-family:times new roman,serif; font-size:10.5pt"">The objective of this Programmatic DPL series is to support a sub-set of GoHP&rsquo;s plan to improve the State&rsquo;s management of its natural resources across growth engines of the economy and to promote inclusive green growth and sustainable development.</span> 

 <strong>This two-part programmatic DPL series is designed to support a subset of Government of Himachal Pradesh (GOHP&rsquo;s) plan that involves enabling policies, institutional actions and piloting of innovative practices that are deemed catalytic and will provide the long-term foundational changes that are needed to achieve this objective</strong>: 

 
	 Adoption of environmentally sustainable and socially responsible hydropower development in the ongoing hydro development program;</li>
	 Promotion of sustainable development through climate change-related adaptation and &nbsp;mitigation actions; &nbsp;</li>
	 Empowering local communities to promote watershed management;</li>
	 Promotion of an environmentally sustainable industrial development;</li>
	 Implementation of an environmentally sustainable tourism program; and</li>
	 Instituting mechanisms for integration of spatial GIS based information in informed decision making.&nbsp;</li>
</ul>

 &nbsp; 

 The CTF-funded Second Inclusive Green Growth and Sustainable Development DPL will be supporting GoHP in transformative policy actions in the sectors that are key engines of growth (i.e. energy, industry and tourism). These transformativeactions include policy reforms and institutional reforms based on the piloting of innovative practices.",Government of Himachal Pradesh,,http://projects.worldbank.org/P143032/null?lang=en,2014-05-16T00:00:00Z,2014-11-30,Grants,100000000,0,0,0,100000000,,Development Policy Lending,,,Irrigation and Drainage,Other Energy and Extractives,"Other Water Supply, Sanitation and Waste Management",Water resource management,Social Safety Nets/Social Assistance & Social Care Services
6154,P133803,South Asia,Republic of India,Closed,Bank Approved,India Ecosystems Service Improvement Project,"The project development objective (PDO) is to Improve forest quality, land management and non-timber forest produce (NTFP) benefitsf or forest dependent communities in selected landscapes in Madhya Pradesh and Chhattisgarh.","Ministry of Environment, Forests and Climate Change",Y,http://projects.worldbank.org/P133803/null?lang=en,2017-07-06T00:00:00Z,2023-07-30,Other,24640000,0,0,0,24640000,Republic of India,Investment Project Financing,B,,ICT Infrastructure,Forestry,"Agricultural markets, commercialization and agri-business",,
6274,P132739,South Asia,Republic of India,Closed,Bank Approved,Neeranchal National Watershed Project,"The Project Development Objective (PDO) is to support the watershed development component of PMKSY through technical assistance to i mprove incremental conservation outcomes and agricultural yields for communities in selected sites, and adoption of more effective p rocesses and technologies in participating states.",Department of Land Resources,,http://projects.worldbank.org/P132739/neeranchal-national-watershed-project?lang=en,2014-07-17T00:00:00Z,2019-07-22,Other,357000000,0,178500000,178500000,,Republic of India,Investment Project Financing,B,,"Agricultural Extension, Research, and Other Support Activities",Irrigation and Drainage,Sub-National Government,Water resource management,Other environment and natural resources management
6279,P132665,South Asia,Republic of India,Closed,Bank Approved,India: Enhancing Teacher Effectiveness in Bihar,The development objective of the Operation is to improve the effectiveness of elementary school teachers in Bihar.,"Bihar State Educational Infrastructure Development Corporation (BSEIDC), Government of Bihar",,http://projects.worldbank.org/P132665/india-enhancing-teacher-effectiveness-through-ict-bihar?lang=en,2015-05-19T00:00:00Z,2020-12-31,Other,357000000,0,250000000,250000000,,Department of Economic Affairs (DEA),Program-for-Results Financing,,,Other Education,,,Education for all,
6285,P132623,South Asia,Republic of India,Closed,Bank Approved,Sustainable Livelihoods and Adaptation to Climate Change,The Project Development Objective (PDO) is to improve adaptive capacity of the rural poor engaged in farm-based livelihoods to cope with climate variability and change.,Ministry of Rural Development,,http://projects.worldbank.org/P132623/null?lang=en,2014-12-09T00:00:00Z,2019-12-31,Other,,0,0,0,8000000,Republic of India,Investment Project Financing,B,,"Other Agriculture, Fishing and Forestry",Livestock,Fisheries,Natural disaster management,
6287,P132620,South Asia,Republic of India,Active,Bank Approved,Partial Risk Sharing Facility in Energy Efficiency,The project development objective is to assist India in achieving energy savings with mobilization of commercial finance and participation of Energy Service Companies (ESCOs).,"Small Industries Development Bank of India, EESL Energy Efficiency Services Limited",,http://projects.worldbank.org/P132620/null?lang=en,2015-02-25T00:00:00Z,2024-04-01,Grants,25000000,0,0,0,25000000,"Government of India, India",Investment Project Financing,F,,Other Energy and Extractives,,,Climate change,
6308,P132418,South Asia,Republic of India,Closed,Bank Approved,Efficient & Sustainable City Bus Services,The project's Global Environment Objective (GEO) is to improve the efficiency and attractiveness of city bus transport and reduce greenhouse gas emissions in the demonstration cities.,Ministry of Housing and Urban Affairs (erstwhile Ministry of Urban Development),,http://projects.worldbank.org/P132418/null?lang=en,2014-12-09T00:00:00Z,2020-12-30,Other,,0,0,0,0,Republic of India,Investment Project Financing,B,,Urban Transport,Public Administration - Transportation,,Infrastructure services for private sector development,Climate change
6333,P132173,South Asia,Republic of India,Closed,Bank Approved,Rural Water Supply and Sanitation Project for Low Income States,The project development objective is to improve piped water supply and sanitation services for selected rural communities in the target states through decentralized delivery systems and to increase the capacity of the Participating States to respond promptly and effectively to an Eligible Crisis or Emergency.,"Ministry of Jal Shakti, Department of Drinking Water and Sanitation",,http://projects.worldbank.org/P132173/india-rural-water-supply-sanitation-project-low-income-states?lang=en,2013-12-30T00:00:00Z,2020-03-31,Other,1000000000,0,500000000,500000000,,India,Investment Project Financing,B,,Water Supply,Sanitation,"Public Administration - Water, Sanitation and Waste Management",Rural services and infrastructure,Decentralization
6366,P131765,South Asia,Republic of India,Closed,Bank Approved,Eastern Dedicated Freight Corridor - II,"The objectives of the Project are to: (i) provide additional rail transport capacity, improved service quality and higher freight th roughput on the Khurja to Mughalsarai section of the Eastern Dedicated Freight Corridor; and (ii) develop Institutional capacity of DFCCIL to build, maintain and operate the entire dedicated freight corridor network.",Dedicated Freight Corridor Corporation of India Ltd.,,http://projects.worldbank.org/P131765/eastern-dedicated-freight-corridor-ii?lang=en,2014-04-22T00:00:00Z,2020-12-31,Other,1650000000,1100000000,0,1100000000,,"Department of Economic Affairs, Ministry of Finance, Republic of India",Investment Project Financing,A,,Railways,,,Climate change,Infrastructure services for private sector development
6416,P131235,South Asia,Republic of India,Closed,Bank Approved,Uttarakhand Decentralized Watershed Development II Project,The objective of the Project is to increase the efficiency of natural resource use and productivity of rainfed agriculture by participating communities in selected microwatersheds of the State of Uttarakhand.,"Watershed Management Directorate (WMD), Watershed Management Directorate",,http://projects.worldbank.org/P131235/uttarakhand-decentralized-watershed-development-project-phase-ii?lang=en,2014-03-31T00:00:00Z,2022-01-31,IDA,170000000,0,121200000,121200000,,Republic of India,Investment Project Financing,B,,Irrigation and Drainage,Forestry,"Agricultural markets, commercialization and agri-business",Water resource management,Rural services and infrastructure
6447,P130944,South Asia,Republic of India,Closed,Bank Approved,AF - HP Mid-Himalayan Watershed Development Project,,,,http://projects.worldbank.org/P130944/additional-financing-himachal-pradesh-mid-himalayan-watershed-development-project?lang=en,2012-09-27T00:00:00Z,,IDA,37000000,0,37000000,37000000,,,Specific Investment Loan,B,,"Other Agriculture, Fishing and Forestry",Sub-National Government,Social Protection,Rural services and infrastructure,Other rural development
6484,P130616,South Asia,Republic of India,Closed,Bank Approved,HP State Roads Project - Additional Financing,To reduce transport costs and to improve traffic flows on priority segments of the core road network of Himachal Pradesh for the road users in the state.,,,http://projects.worldbank.org/P130616/hp-state-roads-project-additional-financing?lang=en,2012-10-25T00:00:00Z,,Other,97200000,61700000,0,61700000,,,Specific Investment Loan,A,,Rural and Inter-Urban Roads,,,Infrastructure services for private sector development,Other social development
6491,P130546,South Asia,Republic of India,Closed,Bank Approved,Bihar Rural Livelihood Project Additional Financing,The project development objective is to enhance social and economic empowerment of the rural poor in Bihar.,,,http://projects.worldbank.org/P130546/bihar-rural-livelihood-project-additional-financing?lang=en,2012-05-31T00:00:00Z,,Other,140000000,0,100000000,100000000,,,Specific Investment Loan,B,,"Other Agriculture, Fishing and Forestry",Social Protection,"Agricultural markets, commercialization and agri-business",Rural non-farm income generation,Gender
6492,P130544,South Asia,Republic of India,Active,Bank Approved,IN Karnataka Urban Water Supply Modernization Project,"<p>The Project Development Objective is to provide city-wide access to a continuous piped water supply in the eligible cities in the  state of Karnataka, and to strengthen service delivery arrangements at the city level.</p>",Karnataka Urban Infrastructure Development & Finance Corporation (KUIDFC),,http://projects.worldbank.org/P130544/karnataka-urban-water-supply-modernization-project?lang=en,2016-03-31T00:00:00Z,2026-06-30,Other,153000000,100000000,0,100000000,,India,Investment Project Financing,B,,Water Supply,"Public Administration - Water, Sanitation and Waste Management",,,
6514,P130395,South Asia,Republic of India,Closed,Bank Approved,India:  Karnataka Health Systems Additional Financing,"The Project's objective is to strengthen essential curative and public health services, particularly in underserved areas and among vulnerable groups, to accelerate achievement of the health-related Millennium Development Goals.",,,http://projects.worldbank.org/P130395/india-karnataka-health-systems-additional-financing?lang=en,2012-09-27T00:00:00Z,,Other,100000000,0,70000000,70000000,,,Specific Investment Loan,B,,Health,Public Administration - Health,,Health system performance,Injuries and non-communicable diseases
6518,P130339,South Asia,Republic of India,Closed,Bank Approved,India Second Kerala State Transport Project,"To improve condition, traffic flow and road safety with a focus on Vulnerable Road Users on selected roads in Kerala, and to enhance  resilience to climate change and disaster risk.","Public Works Department, Govt of Kerala",,http://projects.worldbank.org/P130339/india-second-kerala-state-transport-project?lang=en,2013-05-14T00:00:00Z,2021-04-30,Other,445000000,216000000,0,216000000,,India,Investment Project Financing,A,,Rural and Inter-Urban Roads,Public Administration - Transportation,Other Transportation,Rural services and infrastructure,Injuries and non-communicable diseases
6520,P130299,South Asia,Republic of India,Closed,Bank Approved,National AIDS Control Support Project,The Project Development Objective (PDO) is to increase safe behaviors among high risk groups in order to contribute to the national goal of reversal of the HIV epidemic,"Central Medical Services Society, National AIDS Control Organisation, Department of AIDS Control",,http://projects.worldbank.org/P130299/fourth-national-hivaids-control-project?lang=en,2013-05-01T00:00:00Z,2020-06-30,Other,510000000,0,255000000,255000000,,Department of Economic Affairs,Investment Project Financing,B,,Public Administration - Health,Health,,HIV/AIDS,Health system performance
6533,P130164,South Asia,Republic of India,Closed,Bank Approved,Rajasthan Road Sector Modernization Project,"The project development objective is to improve rural connectivity, enhance road safety and strengthen road sector managementcapacit y of the state of Rajasthan.",Rajasthan State Public Works Department,,http://projects.worldbank.org/P130164/rajasthan-road-sector-modernization-project?lang=en,2013-10-29T00:00:00Z,2018-12-31,Other,227000000,0,160000000,160000000,,"Department of Economic Affairs, Ministry of Finance, Govt. of India",Investment Project Financing,B,,Public Administration - Transportation,Rural and Inter-Urban Roads,,Rural services and infrastructure,
6563,P129794,South Asia,Republic of India,Dropped,Begin Appraisal,India - CTF support for NMEEE - Super Efficient Equipment Program,To achieve energy savings in user households and to demonstrate the commercial viability of SEE fans to appliance manufacturers.,,,http://projects.worldbank.org/P129794/null?lang=en,,,,50000000,0,0,0,,,Specific Investment Loan,B,,Other Energy and Extractives,,,Climate change,Infrastructure services for private sector development
6575,P129686,South Asia,Republic of India,Closed,Bank Approved,IN - Assam Agricultural Competitiveness Project Additional Financing,,,,http://projects.worldbank.org/P129686/assam-agricultural-competitiveness-project-additional-financing?lang=en,2012-03-08T00:00:00Z,,Other,62500000,0,50000000,50000000,,,Specific Investment Loan,B,,"Agricultural markets, commercialization and agri-business",Rural and Inter-Urban Roads,"Agricultural Extension, Research, and Other Support Activities",Water resource management,Other rural development
6645,P129119,South Asia,Republic of India,Closed,Bank Approved,Tamil Nadu Empowernment and Poverty Reduction Project : TA Disability,To improve the participation of persons with mental disability in community activities including access to livelihoods.,Tamil Nadu Pudhu Vaazhvu State Society,,http://projects.worldbank.org/P129119/null?lang=en,2012-03-01T00:00:00Z,2016-09-30,Grants,2790000,0,0,0,,Government of Tamil Nadu,Technical Assistance Loan,C,,Social Protection,"Other Agriculture, Fishing and Forestry",,Other social development,Participation and civic engagement
6660,P128921,South Asia,Republic of India,Active,Bank Approved,Partial Risk Sharing Facility in Energy Efficiency,The project development objective is to assist India in achieving energy savings with mobilization of commercial finance and participation of Energy Service Companies (ESCOs).,,,http://projects.worldbank.org/P128921/partial-risk-sharing-facility-energy-efficiency?lang=en,2015-02-25T00:00:00Z,2024-04-01,Other,18000000,0,0,0,,,Investment Project Financing,B,,Other Energy and Extractives,,,Climate change,
6713,P128421,South Asia,Republic of India,Dropped,Concept Review,IN INTEGRATED FLOOD AND EROSION MANAGEMENT IN NORTHEAST REGION,"The proposed development objective is to improve soil and watershed management practices and flood management systems in selected states of the Brahmaputra River Basin (i.e., Nagaland, Assam, and Meghalaya). This will contribute to improved long-term resilience of selected communities to flood and erosion risks.",,,http://projects.worldbank.org/P128421/integrated-flood-erosion-management-northeast-region?lang=en,,,,150000000,0,150000000,150000000,,,Specific Investment Loan,A,,"Other Water Supply, Sanitation and Waste Management","Other Agriculture, Fishing and Forestry","Public Administration - Agriculture, Fishing & Forestry",Natural disaster management,Climate change
6761,P127974,South Asia,Republic of India,Active,Bank Approved,North Eastern Region Power System Improvement Project,The proposed project development objective (PDO) is to increase the delivery of electricity at the boundaries of the power distribut ion network in the participating states in the North Eastern Region.,POWERGRID Corporation Limited,,http://projects.worldbank.org/P127974/north-eastern-region-power-system-improvement-project?lang=en,2016-06-24T00:00:00Z,2024-03-31,Other,952200000,470000000,0,470000000,,India,Investment Project Financing,A,,Energy Transmission and Distribution,,,Urban services and housing for the poor,Rural services and infrastructure
6790,P127725,South Asia,Republic of India,Active,Bank Approved,Bihar Kosi Basin Development Project,The project development objective is to enhance resilience and connectivity to minimize impacts from floods in the Targeted District s in the Kosi River Basin and to enhance Bihar’s capacity to respond promptly and effectively to an Eligible Crisis or Emergency.,"Water Resources Department (WRD), Rural Works Department (RWD), Bihar Aapada Punarwas Evam Punarnirman Society (BAPEPS), Bihar Rajya Pul Nirman Nigam Limited (BRPNNL), Animal and Fisheries Resources Department (AFRD)",,http://projects.worldbank.org/P127725/bihar-flood-rehabilitation-phase-ii?lang=en,2015-12-08T00:00:00Z,2024-06-30,Other,376500000,0,250000000,250000000,,India,Investment Project Financing,A,,Rural and Inter-Urban Roads,"Other Agriculture, Fishing and Forestry","Other Water Supply, Sanitation and Waste Management",Rural policies and institutions,Natural disaster management
6997,P126325,South Asia,Republic of India,Closed,Bank Approved,IN Maharashtra Rural Water Supply and Sanitation Program,"To improve the performance of Maharashtra's sector institutions in planning, implementation and monitoring of its Rural Water Suppl y and Sanitation program and to improve access to quality and sustainable services in peri-urban villages, and in water-stressed and  water-quality affected areas.",Water Supply and Sanitation Department,,http://projects.worldbank.org/P126325/third-maharashtra-rural-water-supply-sanitation-project-jalswarajya-ii?lang=en,2014-03-12T00:00:00Z,2020-09-30,Other,1440000000,0,165000000,165000000,,India,Program-for-Results Financing,,,Water Supply,Sanitation,"Public Administration - Water, Sanitation and Waste Management",Rural policies and institutions,Water resource management
7054,P125928,South Asia,Republic of India,Dropped,Concept Review,Informal Settlements Improvement Project,"The Project Development Objective is to improve physical living conditions in informal settlements in selected cities in India. This will be achieved through the provision of basic infrastructure (access roads/paths, water, drainage, street lighting and solid waste collection) in informal settlements.",,,http://projects.worldbank.org/P125928/informal-settlements-improvement-project?lang=en,,,,1000000000,500000000,0,500000000,,,Specific Investment Loan,A,,Waste Management,Sub-National Government,Sanitation,"Poverty strategy, analysis and monitoring",Urban services and housing for the poor
7235,P124639,South Asia,Republic of India,Closed,Bank Approved,PMGSY Rural Roads Project,The objective is to strengthen the systems and processes of the national PMGSY r ural roads program for the expansion and maintenance of all-season rural access roads. The result will enhance the road connectivity to economic opportunities a nd social services for beneficiary communities in the participating states.,"National Rural Infrastructure Development Agency, Ministry of Rural Development",,http://projects.worldbank.org/P124639/pmgsy-rural-roads-project?lang=en,2010-12-20T00:00:00Z,2020-12-15,IDA,1500000000,500000000,1000000000,1500000000,,Republic of India,Investment Project Financing,A,,Rural and Inter-Urban Roads,Public Administration - Transportation,,Rural services and infrastructure,
7241,P124614,South Asia,Republic of India,Closed,Bank Approved,Rajasthan Agricultural Competitiveness Project,To sustainably increase agricultural productivity and farmer incomes in selected locations of Rajasthan.,Rajasthan Agricultural Competitiveness Project Management and Implementation Society,,http://projects.worldbank.org/P124614/rajasthan-agricultural-competitiveness-project?lang=en,2012-03-27T00:00:00Z,2020-06-30,Other,166500000,0,109000000,109000000,,The Republic of India,Investment Project Financing,B,,"Agricultural Extension, Research, and Other Support Activities",Irrigation and Drainage,"Agricultural markets, commercialization and agri-business",Rural services and infrastructure,Other rural development
7256,P124354,South Asia,Republic of India,Closed,Bank Approved,Uttarakhand Decentralized Watershed Project Additional Financing,"The proposed additional financing from GEF of US$7.49 million aims at scaling-up and mainstreaming the outcome of the activities under Uttarakhand Decentralized Watershed Management Project (UDWDP) and ultimately enhancing their sustainability by restoring and sustaining ecosystem functions and biodiversity while simultaneously enhancing income and livelihood functions, and generating lessons learned in these respects that can be up-scaled and mainstreamed at state and national levels.  
  This objective is fully consistent with the original objective of the UDWDP. The GEF project is fully integrated in the World Bank supported Uttarakhand Decentralized Watershed Development Project (UDWDP) that in turn draws on the positive experiences from the Integrated Watershed Development Hills-II project that was completed in 2005. The UDWDP is consistent with the World Bankâs Country Assistance Strategy that has a priority to ""support better management of watersheds, while enhancing the livelihood opportunities of the poor"". The project focuses on protection of watersheds, along with community-level capacity building and promotion of livelihoods. The project is spread over an area of around 238,000 ha, ranging from 700 m to 2000 m altitude in 76 selected micro watersheds in the middle Himalayas. About 451 Gram Panchayats (GP) identified in 18 blocks of 11 districts will participate in this project. A total population of 254,000, living in the project area will benefit from these activities.
 Activities financed by additional financing will focus on 20 micro watersheds that have high erosion indices, which are left behind in terms of socio-economic and other criteria and are predominantly situated close to the agricultural frontier. With this targeted approach on the most vulnerable areas, the impact of the project will be positive both in socio-economic and environmental terms. The outcome of the additional financing project will be measured against the following performance indicators: (i) Sustainable Watershed Management mainstreamed into 20 local government plans including parts of watersheds for which two or more Gram Panchayats have shared governance responsibility; (ii) Implementation of alternative technologies and approaches for enhancing water availability for agriculture and other domestic use; (iii) reduction in community dependency of forest for fuel wood and entering markets with medicinal and aromatic plants; (iv) improved knowledge of the impact of climate change on mountain ecosystems translated into coping strategies; (v) new and innovative techniques and approaches for sustainable land an ecosystem management up-scaled within the Uttarakhand state. Performance will be monitored periodically through well defined indicators by external specialists.",,,http://projects.worldbank.org/P124354/uttarakhand-decentralized-watershed-project-additional-financing?lang=en,2011-01-11T00:00:00Z,,Other,10490000,0,7980000,7980000,,,Specific Investment Loan,B,,"Agricultural Extension, Research, and Other Support Activities",Forestry,"Other Agriculture, Fishing and Forestry",Water resource management,Participation and civic engagement
7291,P124041,South Asia,Republic of India,Closed,Bank Approved,IN: Development Policy Loan (DPL) to Promote Inclusive Green Growth and Sustainable Development in Himachal Pradesh,"The Program Development Objective  is to support Himachal Pradesh in the improved management of its natural resources across growthengines of the economy and to promote inclusive green growth and sustainable development  
The PDO supports the CAS provisions where sustainable management of natural resources, climate change, and inclusive growth are well reflected. The India CAS, 2009-12, recognizes that while India needs to grow to reduce poverty and create employment, it also has an opportunity to do so in a way that is sustainable and preserves the country’s natural heritage.  It also contributes to the Bank's commitment to secure additional sourcesof funding to support low carbon growth in India.","Department of Environment, Science and Technology (DEST), Government of Himachal Pradesh",,http://projects.worldbank.org/P124041/himachal-pradesh-environmentally-sustainable-development-dpl?lang=en,2012-09-06T00:00:00Z,2013-09-30,IBRD,100000000,100000000,0,100000000,,,Development Policy Lending,,,Renewable Energy Hydro,Irrigation and Drainage,Other Energy and Extractives,Climate change,Rural services and infrastructure
7424,P122770,South Asia,Republic of India,Closed,Bank Approved,IN Uttar Pradesh Water Sector Restructuring Project Phase 2,The Project Development objectives are to strengthen the institutional and policy framework for integrated water resources management for the entire State and increase agricultural productivity and water productivity by supporting farmers in targeted irrigation areas.,"Uttar Pradesh Irrigation Department, GoUP, Lucknow",,http://projects.worldbank.org/P122770/uttar-pradesh-water-sector-restructuring-project-phase-2?lang=en,2013-08-28T00:00:00Z,2021-06-30,Other,515000000,0,360000000,360000000,,India,Investment Project Financing,A,,Irrigation and Drainage,"Public Administration - Water, Sanitation and Waste Management","Other Water Supply, Sanitation and Waste Management",Other rural development,Land administration and management
7459,P122486,South Asia,Republic of India,Closed,Bank Approved,Karnataka Watershed Development Project - II,"Project Development Objective is to demonstrate more effective watershed management through greater integration of programs related to rainfed agriculture, innovative and science based approaches, and strengthened institutions and capacities.","Department of Horticulture, Watershed Development Department",,http://projects.worldbank.org/P122486/karnataka-watershed-development-ii?lang=en,2012-09-06T00:00:00Z,2019-12-31,Other,85700000,0,60000000,60000000,,Republic of India,Investment Project Financing,B,,"Agricultural Extension, Research, and Other Support Activities","Public Administration - Agriculture, Fishing & Forestry",Crops,Other environment and natural resources management,Rural services and infrastructure
7472,P122387,South Asia,Republic of India,Closed,Bank Approved,DFID TF III Supervision and Fiduciary Costs,,,,http://projects.worldbank.org/P122387/dfid-tf-iii-supervision-fiduciary-costs?lang=en,2009-08-28T00:00:00Z,,Grants,16160000,0,0,0,,,Technical Assistance Loan,C,,Central Government (Central Agencies),Sub-National Government,,Other economic management,
7474,P122371,South Asia,Republic of India,Closed,Bank Approved,Mizoram Roads AF II,,,,http://projects.worldbank.org/P122371/mizoram-roads-af-ii?lang=en,2010-10-21T00:00:00Z,,IDA,13000000,0,13000000,13000000,,,Specific Investment Loan,A,,Rural and Inter-Urban Roads,Public Administration - Transportation,Sub-National Government,Environmental policies and institutions,Infrastructure services for private sector development
7492,P122241,South Asia,Republic of India,Closed,Bank Approved,"TA to Enhance Financial Access through Technology in Andhra Pradesh, India",,,,http://projects.worldbank.org/P122241/ta-enhance-financial-access-through-technology-andhra-pradesh-india?lang=en,2010-10-07T00:00:00Z,2014-04-30,Grants,1900000,0,0,0,,,Specific Investment Loan,C,,"Agricultural markets, commercialization and agri-business",Banking Institutions,Other Non-bank Financial Institutions,Participation and civic engagement,Rural markets
7510,P122193,South Asia,Republic of India,Closed,Bank Approved,Planning Support Unit for City Development Planning in Madhya Pradesh,see above,,,http://projects.worldbank.org/P122193/planning-support-unit-city-development-planning-madhya-pradesh?lang=en,2010-04-12T00:00:00Z,,Grants,250000,0,0,0,,,Technical Assistance Loan,C,,Sub-National Government,,,Urban services and housing for the poor,Municipal governance and institution building
7531,P122096,South Asia,Republic of India,Closed,Bank Approved,Bihar Kosi Flood Recovery Project,"The Project Development Objective is to support flood recovery as well as future oriented risk reduction efforts of the GoB through: (i) reconstruction of damaged houses and road infrastructure; (ii) strengthening the flood management capacity in Kosi Basin; (iii) enhancing livelihood opportunities of the affected people; and, (iv) improving the emergency response capacity for future disasters.","Government of Bihar, Bihar Aapada Punarwas Evam Punarnirman Society (BAPEPS)",,http://projects.worldbank.org/P122096/bihar-kosi-flood-recovery-project?lang=en,2010-09-09T00:00:00Z,2018-06-30,Other,259000000,0,220000000,220000000,,"Department of Economic Affairs, Ministry of Finance, Republic of India",Investment Project Financing,B,,"Public Administration - Water, Sanitation and Waste Management",Housing Construction,,Natural disaster management,
7574,P121774,South Asia,Republic of India,Closed,Bank Approved,Second Kerala Rural Water Supply and Sanitation Project (Jalanidhi II),"The development objective of the proposed project is to increase the access of rural communities to improved and sustainable water supply and sanitation services in Kerala, using a decentralized, demand-responsive approach.",KRWSA,,http://projects.worldbank.org/P121774/second-kerala-rural-water-supply-sanitation-project-jalanidhi-ii?lang=en,2011-12-15T00:00:00Z,2019-06-28,Other,222300000,0,155300000,155300000,,Republic of India,Investment Project Financing,B,,Water Supply,Sanitation,"Public Administration - Water, Sanitation and Waste Management",Water resource management,Rural services and infrastructure
7581,P121731,South Asia,Republic of India,Closed,Bank Approved,India: ICDS Systems Strengthening & Nutrition Improvement Program (ISSNIP),To improve the coverage and quality of ICDS nutrition services to pregnant and lactating women and children under 3 years of age,Ministry of Women and Child Development,,http://projects.worldbank.org/P121731/icds-systems-strengthening-nutrition-improvement-program-issnip?lang=en,2012-09-06T00:00:00Z,2022-08-30,Other,151500000,0,106000000,106000000,,Republic of India,Investment Project Financing,C,,Central Government (Central Agencies),Sub-National Government,Early Childhood Education,Gender,Nutrition and food security
7610,P121515,South Asia,Republic of India,Closed,Bank Approved,NHAI Technical Assistance Project,Assist MoRTH and NHAI to adopt better program management and operational practices.,"National Highways Authority of India, Ministry of Road Transport and Highways",,http://projects.worldbank.org/P121515/nhai-technical-assistance-project?lang=en,2010-11-30T00:00:00Z,2018-06-30,Other,55000000,45000000,0,45000000,,The Republic of India,Investment Project Financing,C,,Public Administration - Transportation,,,"Public expenditure, financial management and procurement",Corporate governance
